Detected Mood,Suggested Activity
sadness,Listen to calming music
sadness,Take a walk in nature
sadness,Call a friend
happiness,Celebrate with friends
happiness,Practice gratitude
happiness,Dance freely
anger,Try deep breathing exercises
anger,Go for a run
anger,Listen to relaxing music
neutral,Explore a new hobby
neutral,Read an interesting book
neutral,Go for a walk
love,Write a heartfelt message
love,Spend time with loved ones
love,Express gratitude
joy,Capture this moment in a journal
joy,Enjoy your favorite treat
joy,Share your happiness
fear,Talk to someone about your fear
fear,Practice deep breathing
fear,Write down your thoughts
surprise,Embrace the unexpected moment
surprise,Share the surprise with a friend
surprise,Take a deep breath